product_category_name_english,repeat_orders,repeat_customers,avg_order_value
bed_bath_table,821,566,136.41
furniture_decor,555,433,137.9
sports_leisure,567,380,143.87
health_beauty,482,334,129.57
housewares,334,273,124.75
computers_accessories,395,270,176.38
watches_gifts,270,196,203.39
toys,194,154,129.4
fashion_bags_accessories,215,154,92.02
garden_tools,181,153,131.32
telephony,183,137,95.17
perfumery,170,134,140.62
auto,163,122,141.8
cool_stuff,124,108,197.5
baby,131,106,135.19
stationery,96,82,101.96
pet_shop,101,80,142.16
electronics,83,73,74.48
home_appliances,131,72,81.57
office_furniture,51,42,306.42
luggage_accessories,44,38,165.4
construction_tools_construction,37,33,216.46
consoles_games,36,32,212.64
home_construction,32,32,168.58
furniture_living_room,37,30,205.13
