product_category_name_english,order_count,avg_score,pct_negative,avg_delay
agro_industry_and_commerce,182,4.02,14.8,-11.3
air_conditioning,252,4.04,15.9,-13.9
art,198,4.05,15.2,-12.7
audio,346,3.84,21.4,-10.0
auto,3880,4.1,14.2,-11.2
baby,2839,4.06,15.4,-11.4
bed_bath_table,9311,3.98,16.3,-11.3
books_general_interest,509,4.47,8.1,-11.9
books_technical,259,4.4,10.0,-11.3
christmas_supplies,128,4.06,12.5,-12.2
computers,180,4.19,12.2,-11.6
computers_accessories,6660,4.03,15.9,-12.4
consoles_games,1058,4.07,14.0,-11.5
construction_tools_construction,740,4.09,14.3,-11.0
construction_tools_lights,233,4.19,9.4,-11.3
construction_tools_safety,162,3.89,19.1,-12.9
cool_stuff,3603,4.18,12.2,-12.4
costruction_tools_garden,187,4.22,13.4,-13.3
drinks,294,4.18,11.6,-10.9
electronics,2540,4.1,13.8,-11.0
fashion_bags_accessories,1854,4.19,11.5,-13.2
fashion_male_clothing,112,3.7,25.9,-13.4
fashion_shoes,238,4.24,11.8,-14.3
fashion_underwear_beach,121,3.93,18.2,-10.5
fixed_telephony,217,3.9,18.4,-14.9
food,444,4.27,11.5,-9.7
food_drink,224,4.38,5.8,-11.4
furniture_decor,6355,4.02,16.2,-12.3
furniture_living_room,417,4.05,14.4,-11.7
garden_tools,3482,4.15,13.0,-11.8
health_beauty,8796,4.19,12.4,-12.0
home_appliances,764,4.16,12.2,-12.6
home_appliances_2,233,4.14,12.9,-12.3
home_confort,375,3.89,18.1,-9.9
home_construction,473,4.03,15.6,-11.3
housewares,5829,4.15,12.9,-12.0
industry_commerce_and_business,232,4.2,10.8,-12.2
kitchen_dining_laundry_garden_furniture,246,4.07,13.0,-12.3
luggage_accessories,1023,4.34,8.9,-12.6
market_place,274,4.06,13.1,-13.8
musical_instruments,624,4.19,12.7,-11.4
office_furniture,1265,3.62,22.4,-11.7
perfumery,3149,4.21,13.1,-12.4
pet_shop,1704,4.24,11.4,-12.3
signaling_and_security,140,4.11,11.4,-11.7
small_appliances,627,4.18,13.6,-13.8
sports_leisure,7681,4.17,12.8,-11.8
stationery,2294,4.26,11.1,-12.0
telephony,4182,4.01,15.3,-11.2
toys,3861,4.19,12.5,-12.1
watches_gifts,5601,4.07,14.9,-11.8
